                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                0.53707,                0.54101,                0.88449,                0.81737,                0.99324,                0.85503,                0.77765,                0.45114,                0.40303,                0.84667,              0.0087724,              0.0087724,              0.0087724
                    126,                0.54418,                0.56234,                0.88505,                0.81517,                0.98982,                0.85837,                0.79118,                0.44512,                0.40435,                0.84457,              0.0087625,              0.0087625,              0.0087625
                    127,                0.52494,                0.52233,                0.87405,                0.81681,                0.99324,                0.86804,                0.78568,                 0.4498,                0.40034,                0.84626,              0.0087526,              0.0087526,              0.0087526
                    128,                0.53561,                0.53742,                0.88583,                 0.8186,                0.99324,                0.88079,                0.80982,                0.44294,                0.39682,                0.84426,              0.0087427,              0.0087427,              0.0087427
                    129,                0.53589,                0.54925,                0.88206,                0.81929,                0.99324,                0.88068,                0.80185,                0.44515,                0.39798,                0.84359,              0.0087328,              0.0087328,              0.0087328
                    130,                0.53371,                0.53766,                0.88611,                0.81546,                0.99064,                0.87843,                0.80497,                0.43818,                0.40042,                0.84211,              0.0087229,              0.0087229,              0.0087229
                    131,                0.52982,                0.53776,                0.88271,                0.81263,                0.98869,                0.86913,                0.79608,                0.44263,                0.40751,                0.84472,               0.008713,               0.008713,               0.008713
                    132,                0.53252,                0.53158,                0.88685,                0.81876,                0.99017,                0.85621,                0.78602,                0.44146,                0.39707,                0.84173,              0.0087031,              0.0087031,              0.0087031
                    133,                0.55161,                0.54103,                0.88938,                0.81345,                0.99313,                0.85522,                0.78156,                0.44717,                0.40674,                0.84448,              0.0086932,              0.0086932,              0.0086932
                    134,                0.53925,                0.55147,                 0.8861,                0.81566,                0.99232,                 0.8527,                0.78524,                0.44409,                0.39975,                0.84252,              0.0086833,              0.0086833,              0.0086833
                    135,                0.53475,                0.53876,                0.88368,                0.81138,                0.99324,                0.84294,                0.77636,                0.44284,                0.40219,                0.84386,              0.0086734,              0.0086734,              0.0086734
                    136,                0.52685,                0.53048,                0.87865,                0.81898,                0.99101,                0.86563,                0.78921,                 0.4495,                0.39296,                 0.8495,              0.0086635,              0.0086635,              0.0086635
                    137,                0.52818,                0.53451,                0.88238,                0.81731,                0.99324,                 0.8576,                0.78101,                0.45842,                0.39948,                0.85076,              0.0086536,              0.0086536,              0.0086536
                    138,                0.54204,                0.52953,                0.88422,                0.80788,                0.99226,                0.84518,                0.77663,                0.44436,                0.40618,                0.84485,              0.0086437,              0.0086437,              0.0086437
                    139,                0.54279,                0.54375,                 0.8902,                0.81056,                0.99324,                0.84429,                 0.7773,                0.44814,                0.40275,                0.84698,              0.0086338,              0.0086338,              0.0086338
                    140,                 0.5368,                0.54405,                0.89136,                  0.814,                 0.9907,                0.85194,                0.77794,                0.44263,                0.40009,                0.84573,              0.0086239,              0.0086239,              0.0086239
